regulator,account_holder,account_type,account_status,operator_id,permit_id,installation_name,first_year,last_year,recorded_emissions_2021,recorded_emissions_2022,recorded_emissions_2023,recorded_emissions_2024,cumulative_emissions,cumulative_surrenders,surrender_status_2021,surrender_status_2022,surrender_status_2023,surrender_status_2024,nace_code,nace_description,regulated_activity,alloc_entitlement_2025,alloc_delivered_2025,alloc_entitlement_2026,alloc_delivered_2026,cps_scope,cps_scope_rule
SEPA,Velox Power Limited,OPERATOR_HOLDING_ACCOUNT,OPEN,1000595,UK-S-IN-13838,Carbrain Power Station,2021,,1368.0,8038.0,4777.0,3887.0,18070,18070,A,A,A,A,3511,Production of electricity,COMBUSTION_OF_FUELS,0,0,0,0,CPS_COVERED,R5_electricity_combustion
SEPA,Earls Gate Energy Centre Limited,OPERATOR_HOLDING_ACCOUNT,OPEN,1000598,UK-S-IN-13868,Earls Gate Energy Centre,2021,,1844.0,5997.0,13514.0,4541.0,25896,25896,A,A,A,A,3511,Production of electricity,COMBUSTION_OF_FUELS,0,0,0,0,CPS_COVERED,R5_electricity_combustion
NRW,Knauf Insulation Limited,OPERATOR_HOLDING_ACCOUNT,OPEN,1000599,UK-W-IN-11378,Pont-y-Felin Insulation,2021,,28347.0,25637.0,23856.0,25760.0,103600,103600,A,A,A,A,2399,Manufacture of other non-metallic mineral products n.e.c.,MANUFACTURE_OF_MINERAL_WOOL,19912,19912,19912,19912,CPS_NOT_APPLICABLE,R7_process_activity
NRW,Castle Cement Limited,OPERATOR_HOLDING_ACCOUNT,OPEN,1000600,UK-W-IN-11397,Padeswood Works,2021,,534888.0,496271.0,359676.0,442435.0,1833270,1833270,A,A,A,A,2351,Manufacture of cement,PRODUCTION_OF_CEMENT_CLINKER,384810,384810,384810,384810,CPS_NOT_APPLICABLE,R7_process_activity
NRW,AB InBev UK Limited,OPERATOR_HOLDING_ACCOUNT,OPEN,1000601,UK-W-IN-11421,Magor Brewery,2021,,19635.0,20543.0,19142.0,20454.0,79774,79774,A,A,A,A,1105,Manufacture of beer,COMBUSTION_OF_FUELS,3402,3402,3402,3402,CPS_NOT_APPLICABLE,R6_industrial_combustion
NRW,Kellogg Company of Great Britain Limited,OPERATOR_HOLDING_ACCOUNT,OPEN,1000602,UK-W-IN-11512,KELLOGG COMPANY - WREXHAM,2021,,15892.0,14157.0,11098.0,10329.0,51476,51476,A,A,A,A,1061,Manufacture of grain mill products,COMBUSTION_OF_FUELS,2379,2379,2379,2379,CPS_NOT_APPLICABLE,R6_industrial_combustion
NRW,Tata Steel UK Limited,OPERATOR_HOLDING_ACCOUNT,OPEN,1000603,UK-W-IN-11580,Tata Steel Packaging Plus UK,2021,,43096.0,40408.0,35731.0,42923.0,162158,162158,A,A,A,A,2410,Manufacture of basic iron and steel and of ferro-alloys ,PRODUCTION_OR_PROCESSING_OF_FERROUS_METALS,33582,33582,33582,33582,CPS_NOT_APPLICABLE,R7_process_activity
NRW,Kronospan Ltd,OPERATOR_HOLDING_ACCOUNT,OPEN,1000604,UK-W-IN-11583,Kronospan Ltd,2021,,152231.0,127500.0,139563.0,140547.0,559841,559841,A,A,A,A,1621,Manufacture of veneer sheets and wood-based panels,COMBUSTION_OF_FUELS,111790,111790,111790,111790,CPS_NOT_APPLICABLE,R6_industrial_combustion
NRW,BAE Systems Global Combat Systems Munitions Ltd,OPERATOR_HOLDING_ACCOUNT,OPEN,1000605,UK-W-IN-11615,BAE Systems - Glascoed,2021,,9172.0,8662.0,9343.0,10711.0,37888,37888,A,A,A,A,2540,Manufacture of weapons and ammunition,COMBUSTION_OF_FUELS,1797,1797,1797,1797,CPS_NOT_APPLICABLE,R6_industrial_combustion
NRW,Tata Steel UK Limited,OPERATOR_HOLDING_ACCOUNT,OPEN,1000606,UK-W-IN-11665,Port Talbot Steelworks,2021,,6643839.0,5673654.0,5706594.0,3436052.0,21460139,21460139,A,A,A,A,2410,Manufacture of basic iron and steel and of ferro-alloys ,PRODUCTION_OF_PIG_IRON_OR_STEEL,238902,238902,238902,238902,CPS_NOT_APPLICABLE,R7_process_activity
NRW,Tata Steel UK Limited,OPERATOR_HOLDING_ACCOUNT,OPEN,1000607,UK-W-IN-11666,Llanwern Steelworks,2021,,36228.0,33662.0,35997.0,33805.0,139692,139692,A,A,A,A,2410,Manufacture of basic iron and steel and of ferro-alloys ,PRODUCTION_OR_PROCESSING_OF_FERROUS_METALS,26256,26256,26256,26256,CPS_NOT_APPLICABLE,R7_process_activity
NRW,Airbus Operations Limited,OPERATOR_HOLDING_ACCOUNT,OPEN,1000608,UK-W-IN-11714,Airbus UK Limited - Broughton,2021,,25946.0,21075.0,19642.0,17570.0,84233,84233,A,A,A,A,3030,Manufacture of air and spacecraft and related machinery,COMBUSTION_OF_FUELS,3296,3296,3296,3296,CPS_NOT_APPLICABLE,R6_industrial_combustion
NRW,Tarmac Cement Limited,OPERATOR_HOLDING_ACCOUNT,OPEN,1000609,UK-W-IN-11738,Aberthaw Cement Plant,2021,,346236.0,358090.0,284212.0,274556.0,1263094,1263094,A,A,A,A,2351,Manufacture of cement,PRODUCTION_OF_CEMENT_CLINKER,291241,291241,291241,291241,CPS_NOT_APPLICABLE,R7_process_activity
NRW,Tata Steel UK Limited,OPERATOR_HOLDING_ACCOUNT,OPEN,1000610,UK-W-IN-11752,Tata Steel Colors,2021,,55478.0,50010.0,49843.0,51263.0,206594,206594,A,A,A,A,2410,Manufacture of basic iron and steel and of ferro-alloys ,PRODUCTION_OR_PROCESSING_OF_FERROUS_METALS,34204,34204,34204,34204,CPS_NOT_APPLICABLE,R7_process_activity
